2013-08-02T15:10:52.798915, touch, yvonne, 469.0, 553.5, 33.13608169555664
2013-08-02T15:10:52.815277, touch, yvonne, 437.5, 546.5, 32.26840591430664
2013-08-02T15:10:52.834775, touch, yvonne, 405.0, 537.0, 33.86000442504883
2013-08-02T15:10:52.848840, touch, yvonne, 372.5, 524.0, 35.003570556640625
2013-08-02T15:10:52.866255, touch, yvonne, 342.0, 507.0, 34.91775894165039
2013-08-02T15:10:52.886683, touch, yvonne, 313.0, 486.5, 35.51408004760742
2013-08-02T15:10:52.904400, touch, yvonne, 288.5, 462.0, 34.648231506347656
2013-08-02T15:10:52.915976, touch, yvonne, 266.0, 435.0, 35.146121978759766
2013-08-02T15:10:52.932604, touch, yvonne, 246.0, 406.5, 34.817378997802734
2013-08-02T15:10:52.952975, touch, yvonne, 228.0, 378.5, 33.2866325378418
2013-08-02T15:10:52.973716, touch, yvonne, 210.5, 352.5, 31.34086799621582
2013-08-02T15:10:52.984184, touch, yvonne, 194.0, 328.0, 29.538110733032227
2013-08-02T15:10:53.002026, touch, yvonne, 177.0, 307.5, 26.63174819946289
2013-08-02T15:10:53.024242, touch, yvonne, 162.5, 290.5, 22.343902587890625
2013-08-02T15:10:53.033288, touch, yvonne, 152.5, 276.5, 17.20465087890625
2013-08-02T15:10:53.052635, touch, yvonne, 145.5, 262.0, 16.101242065429688
2013-08-02T15:10:53.067984, touch, yvonne, 142.5, 249.5, 12.854960441589355
2013-08-02T15:10:53.089939, touch, yvonne, 142.0, 235.5, 14.008925437927246
2013-08-02T15:10:53.101148, touch, yvonne, 143.0, 223.5, 12.041594505310059
2013-08-02T15:10:53.118556, touch, yvonne, 152.5, 210.5, 16.101242065429688
2013-08-02T15:10:53.140052, touch, yvonne, 167.0, 200.0, 17.90251350402832
2013-08-02T15:10:53.153584, touch, yvonne, 184.5, 191.5, 19.455076217651367
2013-08-02T15:10:53.167209, touch, yvonne, 204.0, 186.0, 20.260799407958984
2013-08-02T15:10:53.189906, touch, yvonne, 226.0, 183.0, 22.203603744506836
2013-08-02T15:10:53.205867, touch, yvonne, 251.0, 183.0, 25.0
2013-08-02T15:10:53.218544, touch, yvonne, 279.5, 183.0, 28.5
2013-08-02T15:10:53.234961, touch, yvonne, 303.5, 188.5, 24.62214469909668
2013-08-02T15:10:53.259110, touch, yvonne, 326.5, 194.0, 23.648468017578125
2013-08-02T15:10:53.265828, touch, yvonne, 347.0, 201.0, 21.662179946899414
2013-08-02T15:10:53.282578, touch, yvonne, 366.5, 208.5, 20.892581939697266
2013-08-02T15:10:53.303637, touch, yvonne, 384.5, 219.0, 20.838666915893555
2013-08-02T15:10:53.331677, touch, yvonne, 402.0, 228.5, 19.912307739257812
2013-08-02T15:10:53.333095, touch, yvonne, 416.0, 237.5, 16.6433162689209
2013-08-02T15:10:53.348297, touch, yvonne, 429.5, 247.0, 16.5075740814209
2013-08-02T15:10:53.368095, touch, yvonne, 441.0, 257.0, 15.239750862121582
2013-08-02T15:10:53.382956, touch, yvonne, 451.0, 266.5, 13.79311466217041
2013-08-02T15:10:53.400406, touch, yvonne, 459.0, 277.0, 13.20037841796875
2013-08-02T15:10:53.419515, touch, yvonne, 464.5, 290.5, 14.577380180358887
